Timestamp (UNIX time ms),Timestamp,Active (T/F),Latitude (deg),Longitude (deg),Heartrate (bpm),Speed (mps),Distance (m),Crank Cadence (rpm),Run Cadence (steps/min),Elevation (m),Power (watts),
1549992105000,11:21:45:021,true,,,,8.640999794006348,1818.7099609375,90.0,90.0,,,
1549992106000,11:21:46:021,true,,,,8.581999778747559,1827.1300048828125,90.0,90.0,,,
1549992107000,11:21:47:021,true,,,,8.437000274658203,1835.449951171875,89.00000095367432,89.00000095367432,,,
1549992108000,11:21:48:021,true,,,,8.147000312805176,1843.81005859375,89.00000095367432,89.00000095367432,,,
1549992109000,11:21:49:021,true,,,,8.121000289916992,1852.25,89.00000095367432,89.00000095367432,,,
1549992110000,11:21:50:021,true,,,,8.088000297546387,1860.6600341796875,90.0,90.0,,,
1549992111000,11:21:51:021,true,,,,7.955999851226807,1868.969970703125,88.00000190734863,88.00000190734863,,,
1549992112000,11:21:52:021,true,,,,7.9670000076293945,1876.8900146484375,87.00000286102295,87.00000286102295,,,
1549992113000,11:21:53:021,true,,,,8.27299976348877,1883.7099609375,89.00000095367432,89.00000095367432,,,
1549992114000,11:21:54:021,true,,,,8.402000427246094,1892.1700439453125,91.99999809265137,91.99999809265137,,,
1549992115000,11:21:55:021,true,,,,8.248000144958496,1900.6199951171875,90.0,90.0,,,
1549992116000,11:21:56:021,true,,,,8.227999687194824,1909.02001953125,90.0,90.0,,,
1549992117000,11:21:57:021,true,,,,8.204999923706055,1917.4000244140625,89.00000095367432,89.00000095367432,,,
1549992118000,11:21:58:021,true,,,,8.230999946594238,1925.800048828125,90.0,90.0,,,
1549992119000,11:21:59:021,true,,,,8.187000274658203,1934.1800537109375,90.0,90.0,,,
1549992120000,11:22:00:022,true,,,,8.218999862670898,1942.530029296875,90.0,90.0,,,
1549992121000,11:22:01:022,true,,,,8.251999855041504,1950.9200439453125,90.0,90.0,,,
1549992122000,11:22:02:022,true,,,,8.276000022888184,1959.280029296875,90.99999904632568,90.99999904632568,,,
1549992123000,11:22:03:022,true,,,,8.251999855041504,1967.699951171875,90.0,90.0,,,
1549992124000,11:22:04:022,true,,,,8.289999961853027,1976.0699462890625,90.99999904632568,90.99999904632568,,,
1549992125000,11:22:05:022,true,,,,8.329999923706055,1984.3499755859375,90.99999904632568,90.99999904632568,,,
1549992126000,11:22:06:022,true,,,,8.248000144958496,1992.77001953125,90.0,90.0,,,
1549992127000,11:22:07:022,true,,,,8.253999710083008,2000.77001953125,90.0,90.0,,,
1549992128000,11:22:08:022,true,,,,8.267000198364258,2007.5,90.0,90.0,,,
1549992129000,11:22:09:022,true,,,,8.229000091552734,2015.8299560546875,89.00000095367432,89.00000095367432,,,
1549992130000,11:22:10:022,true,,,,8.27299976348877,2023.800048828125,90.0,90.0,,,
1549992131000,11:22:11:022,true,,,,8.239999771118164,2031.0799560546875,90.0,90.0,,,
1549992132000,11:22:12:022,true,,,,8.223999977111816,2041.010009765625,90.0,90.0,,,
1549992133000,11:22:13:022,true,,,,8.265000343322754,2049.429931640625,90.0,90.0,,,
1549992134000,11:22:14:022,true,,,,8.293999671936035,2057.830078125,90.99999904632568,90.99999904632568,,,
1549992135000,11:22:15:022,true,,,,8.218000411987305,2066.27001953125,90.0,90.0,,,
1549992136000,11:22:16:022,true,,,,8.119000434875488,2074.7099609375,89.00000095367432,89.00000095367432,,,
1549992137000,11:22:17:022,true,,,,8.065999984741211,2082.919921875,89.00000095367432,89.00000095367432,,,
1549992138000,11:22:18:022,true,,,,7.801000118255615,2089.409912109375,89.00000095367432,89.00000095367432,,,
1549992139000,11:22:19:022,true,,,,7.880000114440918,2097.659912109375,90.0,90.0,,,
1549992140000,11:22:20:022,true,,,,7.882999897003174,2106.1201171875,90.99999904632568,90.99999904632568,,,
1549992141000,11:22:21:022,true,,,,7.916999816894531,2114.2900390625,90.99999904632568,90.99999904632568,,,
1549992142000,11:22:22:022,true,,,,7.9770002365112305,2120.77001953125,91.99999809265137,91.99999809265137,,,
1549992143000,11:22:23:022,true,,,,8.02299976348877,2129.2099609375,91.99999809265137,91.99999809265137,,,
1549992144000,11:22:24:022,true,,,,7.988999843597412,2137.64990234375,91.99999809265137,91.99999809265137,,,
1549992145000,11:22:25:022,true,,,,7.953000068664551,2145.9599609375,91.99999809265137,91.99999809265137,,,
1549992146000,11:22:26:022,true,,,,7.880000114440918,2153.9599609375,90.99999904632568,90.99999904632568,,,
1549992147000,11:22:27:022,true,,,,7.866000175476074,2160.669921875,90.0,90.0,,,
1549992148000,11:22:28:022,true,,,,7.795000076293945,2169.159912109375,89.00000095367432,89.00000095367432,,,
1549992149000,11:22:29:022,true,,,,7.6539998054504395,2177.550048828125,88.00000190734863,88.00000190734863,,,
1549992150000,11:22:30:022,true,,,,7.736000061035156,2183.840087890625,88.00000190734863,88.00000190734863,,,
1549992151000,11:22:31:022,true,,,,7.999000072479248,2192.2099609375,90.99999904632568,90.99999904632568,,,
1549992152000,11:22:32:022,true,,,,8.024999618530273,2200.64990234375,91.99999809265137,91.99999809265137,,,
1549992153000,11:22:33:022,true,,,,7.876999855041504,2209.050048828125,90.99999904632568,90.99999904632568,,,
1549992154000,11:22:34:022,true,,,,7.824999809265137,2217.22998046875,90.0,90.0,,,
1549992155000,11:22:35:022,true,,,,7.910999774932861,2223.60009765625,90.0,90.0,,,
1549992156000,11:22:36:022,true,,,,7.942999839782715,2231.97998046875,90.99999904632568,90.99999904632568,,,
1549992157000,11:22:37:022,true,,,,7.988999843597412,2240.429931640625,90.99999904632568,90.99999904632568,,,
1549992158000,11:22:38:022,true,,,,7.868000030517578,2248.679931640625,90.99999904632568,90.99999904632568,,,
1549992159000,11:22:39:022,true,,,,7.755000114440918,2255.14990234375,90.0,90.0,,,
1549992160000,11:22:40:022,true,,,,7.677000045776367,2263.260009765625,88.00000190734863,88.00000190734863,,,
1549992161000,11:22:41:022,true,,,,7.664000034332275,2269.830078125,88.00000190734863,88.00000190734863,,,
1549992162000,11:22:42:022,true,,,,7.74399995803833,2278.199951171875,89.00000095367432,89.00000095367432,,,
1549992163000,11:22:43:022,true,,,,7.793000221252441,2286.610107421875,90.0,90.0,,,
1549992164000,11:22:44:022,true,,,,7.813000202178955,2295.0,90.0,90.0,,,
1549992165000,11:22:45:022,true,,,,7.8979997634887695,2302.989990234375,90.0,90.0,,,
1549992166000,11:22:46:022,true,,,,7.802000045776367,2309.7099609375,90.0,90.0,,,
1549992167000,11:22:47:022,true,,,,7.548999786376953,2318.199951171875,90.0,90.0,,,
1549992168000,11:22:48:022,true,,,,7.165999889373779,2324.530029296875,90.0,90.0,,,
1549992169000,11:22:49:022,true,,,,7.11299991607666,2332.8701171875,89.00000095367432,89.00000095367432,,,
1549992170000,11:22:50:022,true,,,,7.11299991607666,2339.1298828125,90.0,90.0,,,
1549992171000,11:22:51:022,true,,,,7.045000076293945,2345.489990234375,89.00000095367432,89.00000095367432,,,
1549992172000,11:22:52:022,true,,,,7.183000087738037,2353.77001953125,90.99999904632568,90.99999904632568,,,
1549992173000,11:22:53:022,true,,,,7.111999988555908,2360.139892578125,90.0,90.0,,,
1549992174000,11:22:54:022,true,,,,7.0929999351501465,2368.429931640625,89.00000095367432,89.00000095367432,,,
1549992175000,11:22:55:022,true,,,,7.163000106811523,2374.7099609375,90.0,90.0,,,
1549992176000,11:22:56:022,true,,,,7.181000232696533,2381.18994140625,90.0,90.0,,,
1549992177000,11:22:57:022,true,,,,7.135000228881836,2389.389892578125,90.0,90.0,,,
1549992178000,11:22:58:022,true,,,,7.120999813079834,2395.909912109375,90.0,90.0,,,
1549992179000,11:22:59:022,true,,,,7.184999942779541,2404.010009765625,90.0,90.0,,,
1549992180000,11:23:00:023,true,,,,7.198999881744385,2410.60009765625,90.99999904632568,90.99999904632568,,,
1549992181000,11:23:01:023,true,,,,7.288000106811523,2418.719970703125,90.99999904632568,90.99999904632568,,,
1549992182000,11:23:02:023,true,,,,7.296999931335449,2425.31005859375,91.99999809265137,91.99999809265137,,,
1549992183000,11:23:03:023,true,,,,7.234000205993652,2433.3798828125,90.99999904632568,90.99999904632568,,,
1549992184000,11:23:04:023,true,,,,7.2270002365112305,2439.75,90.99999904632568,90.99999904632568,,,
1549992185000,11:23:05:023,true,,,,7.186999797821045,2446.5,90.0,90.0,,,
1549992186000,11:23:06:023,true,,,,7.114999771118164,2454.81005859375,90.0,90.0,,,
1549992187000,11:23:07:023,true,,,,7.13700008392334,2461.14990234375,90.0,90.0,,,
1549992188000,11:23:08:023,true,,,,7.184999942779541,2467.469970703125,90.0,90.0,,,
1549992189000,11:23:09:023,true,,,,7.111999988555908,2475.81005859375,90.0,90.0,,,
1549992190000,11:23:10:023,true,,,,7.045000076293945,2482.06005859375,89.00000095367432,89.00000095367432,,,
1549992191000,11:23:11:023,true,,,,7.210000038146973,2490.330078125,89.00000095367432,89.00000095367432,,,
1549992192000,11:23:12:023,true,,,,7.2230000495910645,2496.739990234375,90.0,90.0,,,
1549992193000,11:23:13:023,true,,,,7.184999942779541,2505.050048828125,90.99999904632568,90.99999904632568,,,
1549992194000,11:23:14:023,true,,,,7.190000057220459,2511.340087890625,90.99999904632568,90.99999904632568,,,
1549992195000,11:23:15:023,true,,,,7.250999927520752,2517.7900390625,90.99999904632568,90.99999904632568,,,
1549992196000,11:23:16:023,true,,,,7.14900016784668,2526.0400390625,90.99999904632568,90.99999904632568,,,
1549992197000,11:23:17:023,true,,,,7.013000011444092,2532.330078125,89.00000095367432,89.00000095367432,,,
1549992198000,11:23:18:023,true,,,,6.771999835968018,2538.89990234375,91.99999809265137,91.99999809265137,,,
1549992199000,11:23:19:023,true,,,,6.624000072479248,2546.93994140625,90.99999904632568,90.99999904632568,,,
1549992200000,11:23:20:023,true,,,,6.61899995803833,2553.300048828125,90.0,90.0,,,
1549992201000,11:23:21:023,true,,,,6.585000038146973,2560.070068359375,90.0,90.0,,,
1549992202000,11:23:22:023,true,,,,6.564000129699707,2566.360107421875,90.0,90.0,,,
1549992203000,11:23:23:023,true,,,,6.448999881744385,2572.68994140625,89.00000095367432,89.00000095367432,,,
